"","EtOH_PS1","EtOH_PS1.1","EtOH_PS1.2","EtOH_PS1.3","5mM_PS1","5mM_PS1.1","5mM_PS1.2","5mM_PS1.3","2mM_PS1","2mM_PS1.1","2mM_PS1.2","2mM_PS1.3","1mM_PS1","1mM_PS1.1","1mM_PS1.2","1mM_PS1.3","0.5mM_PS1","0.5mM_PS1.1","0.5mM_PS1.2","0.5mM_PS1.3","200uM_PS1","200uM_PS1.1","200uM_PS1.2","200uM_PS1.3","100uM_PS1","100uM_PS1.1","100uM_PS1.2","100uM_PS1.3","50uM_PS1","50uM_PS1.1","50uM_PS1.2","50uM_PS1.3","20uM_PS1","20uM_PS1.1","20uM_PS1.2","20uM_PS1.3","10uM_PS1","10uM_PS1.1","10uM_PS1.2","10uM_PS1.3","EtOH_PS392","EtOH_PS392.1","EtOH_PS392.2","EtOH_PS392.3","5mM_PS392","5mM_PS392.1","5mM_PS392.2","5mM_PS392.3","2mM_PS392","2mM_PS392.1","2mM_PS392.2","2mM_PS392.3","1mM_PS392","1mM_PS392.1","1mM_PS392.2","1mM_PS392.3","0.5mM_PS392","0.5mM_PS392.1","0.5mM_PS392.2","0.5mM_PS392.3","200uM_PS392","200uM_PS392.1","200uM_PS392.2","200uM_PS392.3","100uM_PS392","100uM_PS392.1","100uM_PS392.2","100uM_PS392.3","50uM_PS392","50uM_PS392.1","50uM_PS392.2","50uM_PS392.3","20uM_PS392","20uM_PS392.1","20uM_PS392.2","20uM_PS392.3","10uM_PS392","10uM_PS392.1","10uM_PS392.2","10uM_PS392.3"
"0",0.048125,0.062125,0.040125,0.053125,0.062125,0.077125,0.041125,0.037125,0.034125,0.00112500000000001,0.012125,0.056125,0.044125,0.059125,0.056125,0.074125,0.096125,0.067125,0.083125,0.024125,0.053125,0.055125,0.061125,0.069125,0.052125,0.080125,0.048125,0.070125,0.057125,0.057125,0.042125,0.00912499999999999,0.00812499999999999,0.030125,0.035125,0.031125,0.034125,0.039125,0.037125,0.049125,0.037125,0.087125,0.062125,0.053125,0.073125,0.072125,0.061125,0.044125,0.056125,0.031125,0.043125,0.042125,0.035125,0.066125,0.058125,0.073125,0.059125,0.028125,0.023125,0.026125,0.056125,0.024125,0.030125,0.045125,0.042125,0.049125,0.048125,0.055125,0.00312500000000002,-0.000874999999999987,0.00912499999999999,0.045125,0.043125,0.026125,0.054125,0.053125,0.056125,0.077125,0.053125,0.067125
"2",0.0245,0.0345,0.0205,0.0265,0.0425,0.0455,0.0515,0.0365,0.0325,0.00949999999999999,0.0235,0.0485,0.0175,0.0265,0.0175,0.0265,0.0185,0.0205,0.0225,0.00650000000000001,0.0185,-0.0015,0.0125,0.0265,0.0215,0.0265,0.0115,0.0185,0.0195,0.0225,0.0195,0.00949999999999999,0.0175,-0.0035,0.0115,0.0215,0.0165,0.0195,0.0115,0.0235,0.0175,0.0225,0.0155,0.0225,0.0455,0.0465,0.0495,0.0355,0.0215,0.00750000000000001,0.0215,0.0365,0.0225,0.0315,0.0185,0.0205,0.0165,0.0205,0.0185,0.00750000000000001,0.0195,-0.0015,0.0205,0.0215,0.0135,0.0195,0.0125,0.0225,0.0135,0.0155,0.0195,0.0045,0.0165,-0.0055,0.0105,0.0185,0.0155,0.0195,0.0115,0.0205
"4",0.022,0.031,0.016,0.022,0.043,0.045,0.052,0.037,0.028,0.00600000000000001,0.019,0.046,0.015,0.025,0.015,0.022,0.015,0.018,0.019,0.004,0.015,-0.002,0.01,0.025,0.019,0.024,0.01,0.017,0.016,0.02,0.017,0.00800000000000001,0.016,-0.00699999999999999,0.011,0.019,0.013,0.016,0.00900000000000001,0.02,0.016,0.024,0.014,0.02,0.046,0.045,0.047,0.035,0.02,0.00600000000000001,0.022,0.029,0.016,0.023,0.012,0.022,0.014,0.018,0.016,0.004,0.017,-0.003,0.014,0.019,0.012,0.016,0.012,0.02,0.015,0.016,0.024,0.00700000000000001,0.014,-0.003,0.017,0.027,0.019,0.029,0.015,0.017
"6",0.02025,0.03125,0.01825,0.02325,0.04325,0.04625,0.05325,0.03925,0.02625,0.00525,0.01725,0.04825,0.01425,0.02425,0.01425,0.02025,0.01525,0.01625,0.01725,0.00225,0.01525,-0.00574999999999999,0.00725000000000001,0.02225,0.01625,0.02325,0.00925000000000001,0.01625,0.01525,0.02025,0.01625,0.00625000000000001,0.01625,-0.00674999999999999,0.01125,0.01925,0.01525,0.01825,0.01025,0.02025,0.01825,0.02425,0.01525,0.02225,0.04625,0.04525,0.04825,0.03625,0.01925,0.00525,0.02325,0.02725,0.01425,0.02225,0.01225,0.02025,0.01225,0.01825,0.01725,0.00725000000000001,0.01725,-0.00275,0.00925000000000001,0.02225,0.01325,0.01825,0.01325,0.02025,0.01825,0.01825,0.02225,0.00425,0.01625,-0.00375,0.02225,0.02125,0.01625,0.02125,0.01125,0.01925
"8",0.022375,0.034375,0.018375,0.024375,0.041375,0.044375,0.050375,0.036375,0.024375,0.002375,0.015375,0.042375,0.012375,0.022375,0.011375,0.019375,0.016375,0.017375,0.020375,0.005375,0.017375,-0.001625,0.010375,0.025375,0.019375,0.026375,0.010375,0.016375,0.017375,0.022375,0.017375,0.00737500000000001,0.017375,-0.005625,0.010375,0.020375,0.015375,0.017375,0.00937499999999999,0.022375,0.022375,0.030375,0.020375,0.023375,0.046375,0.044375,0.049375,0.038375,0.019375,0.005375,0.022375,0.030375,0.018375,0.027375,0.015375,0.022375,0.014375,0.019375,0.017375,0.00737500000000001,0.018375,0.000375,0.017375,0.020375,0.013375,0.019375,0.014375,0.022375,0.019375,0.018375,0.023375,0.005375,0.017375,-0.003625,0.018375,0.022375,0.019375,0.023375,0.013375,0.021375
"10",0.029375,0.041375,0.025375,0.029375,0.043375,0.046375,0.053375,0.038375,0.026375,0.005375,0.019375,0.044375,0.015375,0.025375,0.014375,0.021375,0.019375,0.020375,0.022375,0.00737500000000001,0.021375,0.001375,0.013375,0.027375,0.023375,0.029375,0.013375,0.019375,0.022375,0.028375,0.022375,0.013375,0.022375,0.001375,0.016375,0.027375,0.020375,0.023375,0.014375,0.027375,0.026375,0.031375,0.023375,0.030375,0.046375,0.046375,0.052375,0.040375,0.022375,0.00837500000000001,0.021375,0.035375,0.021375,0.032375,0.019375,0.025375,0.018375,0.021375,0.021375,0.012375,0.023375,0.005375,0.022375,0.026375,0.019375,0.024375,0.019375,0.026375,0.025375,0.024375,0.028375,0.011375,0.023375,0.001375,0.023375,0.029375,0.025375,0.030375,0.017375,0.022375
"12",0.034625,0.044625,0.030625,0.037625,0.042625,0.045625,0.053625,0.037625,0.026625,0.00662500000000001,0.019625,0.046625,0.016625,0.025625,0.014625,0.022625,0.020625,0.023625,0.025625,0.00962500000000001,0.026625,0.005625,0.012625,0.031625,0.028625,0.034625,0.019625,0.025625,0.028625,0.033625,0.027625,0.018625,0.028625,0.00662500000000001,0.025625,0.030625,0.025625,0.027625,0.020625,0.033625,0.034625,0.039625,0.030625,0.036625,0.047625,0.046625,0.050625,0.039625,0.024625,0.00962500000000001,0.026625,0.036625,0.023625,0.031625,0.019625,0.029625,0.021625,0.024625,0.022625,0.013625,0.028625,0.00862500000000001,0.026625,0.028625,0.023625,0.027625,0.024625,0.031625,0.031625,0.029625,0.034625,0.017625,0.027625,0.00662500000000001,0.028625,0.035625,0.031625,0.035625,0.022625,0.029625
"14",0.040875,0.048875,0.034875,0.042875,0.042875,0.045875,0.052875,0.037875,0.026875,0.00787500000000001,0.018875,0.047875,0.019875,0.028875,0.017875,0.024875,0.025875,0.028875,0.029875,0.014875,0.033875,0.012875,0.022875,0.039875,0.034875,0.044875,0.026875,0.032875,0.035875,0.040875,0.034875,0.025875,0.035875,0.012875,0.027875,0.037875,0.031875,0.034875,0.026875,0.038875,0.041875,0.049875,0.038875,0.044875,0.046875,0.045875,0.050875,0.037875,0.026875,0.011875,0.031875,0.034875,0.023875,0.031875,0.020875,0.029875,0.025875,0.029875,0.028875,0.019875,0.035875,0.016875,0.032875,0.038875,0.031875,0.035875,0.031875,0.035875,0.039875,0.036875,0.041875,0.024875,0.036875,0.014875,0.038875,0.041875,0.036875,0.041875,0.028875,0.037875
"16",0.052375,0.059375,0.045375,0.054375,0.043375,0.045375,0.052375,0.036375,0.027375,0.00937500000000001,0.021375,0.047375,0.021375,0.031375,0.018375,0.027375,0.032375,0.035375,0.036375,0.022375,0.041375,0.020375,0.030375,0.045375,0.044375,0.050375,0.033375,0.040375,0.045375,0.051375,0.044375,0.036375,0.045375,0.023375,0.038375,0.048375,0.041375,0.044375,0.035375,0.048375,0.050375,0.057375,0.047375,0.052375,0.045375,0.044375,0.050375,0.038375,0.026375,0.010375,0.028375,0.036375,0.029375,0.036375,0.024375,0.035375,0.033375,0.035375,0.035375,0.027375,0.044375,0.026375,0.045375,0.046375,0.039375,0.043375,0.040375,0.042375,0.047375,0.043375,0.049375,0.032375,0.042375,0.021375,0.041375,0.049375,0.045375,0.048375,0.036375,0.043375
"18",0.066,0.076,0.059,0.067,0.045,0.047,0.055,0.038,0.031,0.011,0.027,0.051,0.026,0.036,0.022,0.031,0.04,0.043,0.043,0.03,0.051,0.029,0.041,0.053,0.054,0.058,0.043,0.052,0.056,0.062,0.056,0.048,0.056,0.034,0.048,0.061,0.052,0.056,0.046,0.059,0.06,0.065,0.056,0.064,0.045,0.045,0.049,0.037,0.027,0.01,0.026,0.036,0.036,0.042,0.031,0.04,0.043,0.044,0.044,0.036,0.055,0.037,0.06,0.058,0.05,0.055,0.049,0.052,0.057,0.053,0.058,0.04,0.052,0.029,0.052,0.059,0.054,0.057,0.045,0.053
