"","EtOH_PS1","EtOH_PS1.1","EtOH_PS1.2","EtOH_PS1.3","5mM_PS1","5mM_PS1.1","5mM_PS1.2","5mM_PS1.3","2mM_PS1","2mM_PS1.1","2mM_PS1.2","2mM_PS1.3","1mM_PS1","1mM_PS1.1","1mM_PS1.2","1mM_PS1.3","0.5mM_PS1","0.5mM_PS1.1","0.5mM_PS1.2","0.5mM_PS1.3","200uM_PS1","200uM_PS1.1","200uM_PS1.2","200uM_PS1.3","100uM_PS1","100uM_PS1.1","100uM_PS1.2","100uM_PS1.3","50uM_PS1","50uM_PS1.1","50uM_PS1.2","50uM_PS1.3","20uM_PS1","20uM_PS1.1","20uM_PS1.2","20uM_PS1.3","10uM_PS1","10uM_PS1.1","10uM_PS1.2","10uM_PS1.3","EtOH_PS392","EtOH_PS392.1","EtOH_PS392.2","EtOH_PS392.3","5mM_PS392","5mM_PS392.1","5mM_PS392.2","5mM_PS392.3","2mM_PS392","2mM_PS392.1","2mM_PS392.2","2mM_PS392.3","1mM_PS392","1mM_PS392.1","1mM_PS392.2","1mM_PS392.3","0.5mM_PS392","0.5mM_PS392.1","0.5mM_PS392.2","0.5mM_PS392.3","200uM_PS392","200uM_PS392.1","200uM_PS392.2","200uM_PS392.3","100uM_PS392","100uM_PS392.1","100uM_PS392.2","100uM_PS392.3","50uM_PS392","50uM_PS392.1","50uM_PS392.2","50uM_PS392.3","20uM_PS392","20uM_PS392.1","20uM_PS392.2","20uM_PS392.3","10uM_PS392","10uM_PS392.1","10uM_PS392.2","10uM_PS392.3"
"0",0.073625,0.077625,0.069625,0.076625,0.069625,0.081625,0.039625,0.050625,0.051625,0.041625,0.038625,0.057625,0.076625,0.082625,0.088625,0.097625,0.127625,0.096625,0.110625,0.067625,0.084625,0.106625,0.098625,0.092625,0.080625,0.103625,0.086625,0.101625,0.087625,0.084625,0.072625,0.049625,0.040625,0.083625,0.073625,0.059625,0.067625,0.069625,0.075625,0.075625,0.069625,0.114625,0.096625,0.080625,0.077625,0.075625,0.061625,0.058625,0.084625,0.073625,0.071625,0.055625,0.062625,0.084625,0.089625,0.102625,0.092625,0.057625,0.054625,0.068625,0.086625,0.075625,0.059625,0.073625,0.078625,0.079625,0.085625,0.082625,0.039625,0.033625,0.039625,0.090625,0.076625,0.081625,0.093625,0.084625,0.090625,0.107625,0.091625,0.096625
"2",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"4",0.0475,0.0465,0.0455,0.0455,0.0505,0.0495,0.0505,0.0505,0.0455,0.0465,0.0455,0.0475,0.0475,0.0485,0.0475,0.0455,0.0465,0.0475,0.0465,0.0475,0.0465,0.0495,0.0475,0.0485,0.0475,0.0475,0.0485,0.0485,0.0465,0.0475,0.0475,0.0485,0.0485,0.0465,0.0495,0.0475,0.0465,0.0465,0.0475,0.0465,0.0485,0.0515,0.0485,0.0475,0.0505,0.0485,0.0475,0.0495,0.0485,0.0485,0.0505,0.0425,0.0435,0.0415,0.0435,0.0515,0.0475,0.0475,0.0475,0.0465,0.0475,0.0485,0.0435,0.0475,0.0485,0.0465,0.0495,0.0475,0.0515,0.0505,0.0545,0.0525,0.0475,0.0525,0.0565,0.0585,0.0535,0.0595,0.0535,0.0465
"6",0.04575,0.04675,0.04775,0.04675,0.05075,0.05075,0.05175,0.05275,0.04375,0.04575,0.04375,0.04975,0.04675,0.04775,0.04675,0.04375,0.04675,0.04575,0.04475,0.04575,0.04675,0.04575,0.04475,0.04575,0.04475,0.04675,0.04775,0.04775,0.04575,0.04775,0.04675,0.04675,0.04875,0.04675,0.04975,0.04775,0.04875,0.04875,0.04875,0.04675,0.05075,0.05175,0.04975,0.04975,0.05075,0.04875,0.04875,0.05075,0.04775,0.04775,0.05175,0.04075,0.04175,0.04075,0.04375,0.04975,0.04575,0.04775,0.04875,0.04975,0.04775,0.04875,0.03875,0.05075,0.04975,0.04875,0.05075,0.04775,0.05475,0.05275,0.05275,0.04975,0.04975,0.05175,0.06175,0.05275,0.05075,0.05175,0.04975,0.04875
"8",0.047875,0.049875,0.047875,0.047875,0.048875,0.048875,0.048875,0.049875,0.041875,0.042875,0.041875,0.043875,0.044875,0.045875,0.043875,0.042875,0.047875,0.046875,0.047875,0.048875,0.048875,0.049875,0.047875,0.048875,0.047875,0.049875,0.048875,0.047875,0.047875,0.049875,0.047875,0.047875,0.049875,0.047875,0.048875,0.048875,0.048875,0.047875,0.047875,0.048875,0.054875,0.057875,0.054875,0.050875,0.050875,0.047875,0.049875,0.052875,0.047875,0.047875,0.050875,0.043875,0.045875,0.045875,0.046875,0.051875,0.047875,0.048875,0.048875,0.049875,0.048875,0.051875,0.046875,0.048875,0.049875,0.049875,0.051875,0.049875,0.055875,0.052875,0.053875,0.050875,0.050875,0.051875,0.057875,0.053875,0.053875,0.053875,0.051875,0.050875
"10",0.054875,0.056875,0.054875,0.052875,0.050875,0.050875,0.051875,0.051875,0.043875,0.045875,0.045875,0.045875,0.047875,0.048875,0.046875,0.044875,0.050875,0.049875,0.049875,0.050875,0.052875,0.052875,0.050875,0.050875,0.051875,0.052875,0.051875,0.050875,0.052875,0.055875,0.052875,0.053875,0.054875,0.054875,0.054875,0.055875,0.053875,0.053875,0.052875,0.053875,0.058875,0.058875,0.057875,0.057875,0.050875,0.049875,0.052875,0.054875,0.050875,0.050875,0.049875,0.048875,0.048875,0.050875,0.050875,0.054875,0.051875,0.050875,0.052875,0.054875,0.053875,0.056875,0.051875,0.054875,0.055875,0.054875,0.056875,0.053875,0.061875,0.058875,0.058875,0.056875,0.056875,0.056875,0.062875,0.060875,0.059875,0.060875,0.055875,0.051875
"12",0.060125,0.060125,0.060125,0.061125,0.050125,0.050125,0.052125,0.051125,0.044125,0.047125,0.046125,0.048125,0.049125,0.049125,0.047125,0.046125,0.052125,0.053125,0.053125,0.053125,0.058125,0.057125,0.050125,0.055125,0.057125,0.058125,0.058125,0.057125,0.059125,0.061125,0.058125,0.059125,0.061125,0.060125,0.064125,0.059125,0.059125,0.058125,0.059125,0.060125,0.067125,0.067125,0.065125,0.064125,0.052125,0.050125,0.051125,0.054125,0.053125,0.052125,0.055125,0.050125,0.051125,0.050125,0.051125,0.059125,0.055125,0.054125,0.054125,0.056125,0.059125,0.060125,0.056125,0.057125,0.060125,0.058125,0.062125,0.059125,0.068125,0.064125,0.065125,0.063125,0.061125,0.062125,0.068125,0.067125,0.066125,0.066125,0.061125,0.059125
"14",0.066375,0.064375,0.064375,0.066375,0.050375,0.050375,0.051375,0.051375,0.044375,0.048375,0.045375,0.049375,0.052375,0.052375,0.050375,0.048375,0.057375,0.058375,0.057375,0.058375,0.065375,0.064375,0.060375,0.063375,0.063375,0.068375,0.065375,0.064375,0.066375,0.068375,0.065375,0.066375,0.068375,0.066375,0.066375,0.066375,0.065375,0.065375,0.065375,0.065375,0.074375,0.077375,0.073375,0.072375,0.051375,0.049375,0.051375,0.052375,0.055375,0.054375,0.060375,0.048375,0.051375,0.050375,0.052375,0.059375,0.059375,0.059375,0.060375,0.062375,0.066375,0.068375,0.062375,0.067375,0.068375,0.066375,0.069375,0.063375,0.076375,0.071375,0.072375,0.070375,0.070375,0.070375,0.078375,0.073375,0.071375,0.072375,0.067375,0.067375
"16",0.077875,0.074875,0.074875,0.077875,0.050875,0.049875,0.050875,0.049875,0.044875,0.049875,0.047875,0.048875,0.053875,0.054875,0.050875,0.050875,0.063875,0.064875,0.063875,0.065875,0.072875,0.071875,0.067875,0.068875,0.072875,0.073875,0.071875,0.071875,0.075875,0.078875,0.074875,0.076875,0.077875,0.076875,0.076875,0.076875,0.074875,0.074875,0.073875,0.074875,0.082875,0.084875,0.081875,0.079875,0.049875,0.047875,0.050875,0.052875,0.054875,0.052875,0.056875,0.049875,0.056875,0.054875,0.055875,0.064875,0.066875,0.064875,0.066875,0.069875,0.074875,0.077875,0.074875,0.074875,0.075875,0.073875,0.077875,0.069875,0.083875,0.077875,0.079875,0.077875,0.075875,0.076875,0.080875,0.080875,0.079875,0.078875,0.074875,0.072875
"18",0.0915,0.0915,0.0885,0.0905,0.0525,0.0515,0.0535,0.0515,0.0485,0.0515,0.0535,0.0525,0.0585,0.0595,0.0545,0.0545,0.0715,0.0725,0.0705,0.0735,0.0825,0.0805,0.0785,0.0765,0.0825,0.0815,0.0815,0.0835,0.0865,0.0895,0.0865,0.0885,0.0885,0.0875,0.0865,0.0895,0.0855,0.0865,0.0845,0.0855,0.0925,0.0925,0.0905,0.0915,0.0495,0.0485,0.0495,0.0515,0.0555,0.0525,0.0545,0.0495,0.0635,0.0605,0.0625,0.0695,0.0765,0.0735,0.0755,0.0785,0.0855,0.0885,0.0895,0.0865,0.0865,0.0855,0.0865,0.0795,0.0935,0.0875,0.0885,0.0855,0.0855,0.0845,0.0915,0.0905,0.0885,0.0875,0.0835,0.0825
